rank,page,category,total2017,local2017,pctlocal,,comment
1,Kansiime Anne / Entertainer,Comedy,1822187,354119,0.194337354,19,"Interestingly enough, a lot of her Kansiime's fans are from Kenya (447,195), South Africa (150, 275), Tanzania (97,486) and most from Other Nations (773, 377)"
2,Daily Monitor,Newspaper,1023226,582420,0.569199766,57,Fun fact: a lot of people residing in Nigeria (103 193) like our Ugandan Daily Monitor for some unknown reason
3,NTV Uganda,Television,1008737,701025,0.694953194,69,"Fun fact: This TV station has more fans from Bangladesh (67,422), than those from our neighbors Kenya and Tanzania."
4,The New Vision,Newspaper,918000,610235,0.664744009,66,Fun fact: a lot of people residing in Nigeria (55 523) like our Ugandan NewVision paper for some unknown reason
5,Juliana Kanyomozi*,Music,857318,439567,0.5127234,51,2nd highest fanbase is from Kenya (227 650)
6,MTN Uganda,Telecom,849015,706466,0.832100728,83,"Most fans, as expected, are local"
7,NBS Television,Television,841221,632157,0.751475534,75,"Most fans, as expected, are local"
8,Galaxy FM 100.2,Radio,731462,464446,0.634955746,63,"2nd highest fanbase is from Malawi (37, 430), followed by Kenya (18,345) and even India (16,274)"
9,Airtel Uganda,Telecom,705081,584983,0.829667797,83,"Most fans, as expected, are local"
10,Bukedde,Newspaper,676541,543315,0.803077714,80,"Most fans, as expected, are local"
11,Eddy Kenzo,Music,667225,298295,0.44706808,45,"Kenzo has a huge fanbase in Ivory Coast (33,318) almost equal to his fans in Kenya (36,098) and Tanzania (35,293)"
12,REMA,Music,597873,442183,0.739593526,74,"Most fans, as expected, are local - followed by Tanzania (33,969)"
13,Straight Talk Africa,Television,580678,125056,0.215362042,22,"Almost a third of fans are from Tanzania (112, 874)"
14,Bebe Cool,Music,492625,341157,0.6925288,69,"Most fans, as expected, are local - followed by a largely East African fanbase"
15,Jose Chameleone,Music,448775,229793,0.512045011,51,"Most fans, as expected, are local - followed by a largely East African fanbase"
16,Bobi Wine,Music,444649,356872,0.802592607,80,"Most fans, as expected, are local - followed by a largely East African fanbase"
17,BigEye.ug,Entertainment News,439108,366523,0.834698981,83,"Most fans, as expected, are local"
18,WBS TV Uganda,Television,414960,303417,0.731195778,73,"Most fans, as expected, are local - followed by a signifacant number in the United States(26,187)"
19,Metro Uganda,Entertainment News,364632,305157,0.836890344,84,"Most fans, as expected, are local - followed by largely Tanzania (46,123)"
20,Ghafla Uganda,Entertainment News,357356,345771,0.967581347,97,"Most fans, as expected, are local"
21,Buy From USA Receive in Uganda,Online Shopping,357319,203192,0.568657138,57,"Most fans, as expected, are local - followed by a largely East African fanbase"
22,Irene ntale,Music,351791,265853,0.755712909,76,"Most fans, as expected, are local - followed by a largely East African fanbase"
23,Capital FM Uganda,Radio,323773,257998,0.796848409,80,"Most fans, as expected, are local - followed by a largely East African fanbase"
24,The Observer,Newspaper,322162,159326,0.49455243,49,"Most fans, as expected, are local - followed by fanbases from Nigeria(17, 036) and United States(13,135)"
25,Angella Katatumba,Music,313093,67031,0.214092937,21,"She is abit of an anomally on this list. Most of her fans are from Turkey (131,482), Brazil(11,372), and Russia (8,978) and Other Nations (94,230) . Very unusual for a Ugandan Musician"
26,RED Pepper UG,Entertainment News,303855,243489,0.801332873,80,"Most fans, as expected, are local - followed by a largely East African fanbase"
27,Africell Uganda,Telecom,293290,273147,0.931320536,93,"Most fans, as expected, are local - followed by a largely East African fanbase"
